antimicrobial,my_colours
All,#810000
Amoxicillin,#5C741F
Amoxicillin+Clavulanic acid,#928B57
Ampicillin,#EB2F69
Azithromycin,#50A0BA
Benzylpenicillin,#8B481D
Cefaclor,#EAAE2B
Cefadroxil,#6D584B
Cefalexin,#693B8D
Cefazolin,#79531A
Cefdinir,#875242
Cefixime,#B5E9A0
Cefradine,#4CCC98
Ciprofloxacin,#1E3D14
Clarithromycin,#692C16
Cloxacillin,#E77461
Doxycycline,#3C1133
Erythromycin,#D771E4
Fusidic acid,#E933B7
Gemifloxacin,#B034C3
Gentamicin,#EAAA61
Josamycin,#8CEA92
Levofloxacin,#2B5738
Lymecycline,#EA932C
Netilmicin,#E67E4A
Norfloxacin,#4721C0
Oxacillin,#8A277A
Oxytetracycline,#C9B12B
Phenoxymethylpenicillin,#817C85
Pristinamycin,#88EB5B
Roxithromycin,#BD2B65
Spiramycin,#24316B
Thiamphenicol,#54EECA
Amikacin,#EB2F41
Amoxicillin+Sulbactam,#47C32B
Amoxicillin+Sulbactam-pivoxil,#661A3D
Ampicillin+Sulbactam,#4D9AE5
Aztreonam,#ADBEA6
Cefalotin,#8B2713
Cefepime,#759D77
Cefotaxime,#63613A
Ceftaroline-fosamil,#B66C51
Ceftazidime,#8BBABB
Ceftazidime+Avibactam,#57EE2B
Ceftobiprole-medocaril,#BFEAE2
Ceftolozane+Tazobactam,#B98A55
Ceftriaxone,#442F3A
Cefuroxime,#424133
Chloramphenicol,#8A99B7
Clindamycin,#5E1959
Colistin,#94EAB8
Daptomycin,#5C3D1A
Ertapenem,#429397
Fosfomycin,#B43CE5
Kanamycin,#6A7294
Lincomycin,#48EC56
Linezolid,#BB3288
Meropenem,#94EBDD
Minocycline,#59507E
Moxifloxacin,#4486B6
Ofloxacin,#92EB2E
Piperacillin,#432617
Piperacillin+Tazobactam,#4FBBBC
Polymyxin B,#AEB1B7
Rifabutin,#87B0E7
Rifampicin,#417488
Teicoplanin,#50655E
Tetracycline,#B36795
Tigecycline,#EB5C71
Tobramycin,#922B66
Vancomycin,#643B5B
Cefoxitin,#E5E2E4
Dicloxacillin,#31577F
Flucloxacillin,#C42B46
Neomycin,#B058AB
Trimethoprim,#404A95
Cefamandole,#E9BF5B
Cefoperazone,#7CBC5B
Cefpodoxime-proxetil,#18242B
Dalbavancin,#BDC72F
Meropenem+Vaborbactam,#55C578
Pivmecillinam,#567751
Prulifloxacin,#C8EF2E
Tedizolid,#C1B185
Cefditoren-pivoxil,#E594C0
Cefetamet-pivoxil,#B996A5
Cefpirome,#423E14
Cefpodoxime-proxetil+Clavulanic acid,#9F7671
Cefprozil,#5E5462
Ceftibuten,#8791E9
Cefuroxime+Clavulanic acid,#439B25
Doripenem,#42A674
Gatifloxacin,#E58ADD
Lomefloxacin,#91B62D
Pefloxacin,#8ABE7E
Sparfloxacin,#E699A9
Spectinomycin,#AE6320
Cefoperazone+Sulbactam,#8E2246
Midecamycin,#9BE670
Cefotetan,#B2E44A
Clometocillin,#AA9E8E
Demeclocycline,#55E8E3
Rifamycin,#C15357
Telithromycin,#C4E9C0
Temocillin,#B8DAEA
Azlocillin,#E85891
Biapenem,#2B5D1C
Carbenicillin,#C28F28
Cefalexin+Trimethoprim,#57954F
Cefazedone,#E863BF
Cefcapene-pivoxil,#49581C
Cefmenoxime,#E558E4
Cefmetazole,#7965B9
Cefminox,#E3C6B1
Cefodizime,#C3ED84
Cefonicid,#5F1C83
Cefotaxime+Sulbactam,#EAE984
Cefotiam,#2C4A58
Cefpiramide,#241049
Ceftazidime+Sulbactam,#AB982C
Cefteram-pivoxil,#ADC960
Ceftezole,#DE6FAB
Ceftizoxime,#48C355
Ceftriaxone+Sulbactam,#1D2614
Dirithromycin,#56EC7D
Enoxacin,#B692BC
Faropenem,#EDCF36
Fleroxacin,#5221EB
Flomoxef,#AC7BC0
Isepamicin,#E93090
Latamoxef,#D5C95B
Metacycline,#B784E6
Mezlocillin,#E9311B
Mezlocillin+Sulbactam,#4FC4AA
Nafcillin,#C3C3E6
Pazufloxacin,#4870E6
Piperacillin+Sulbactam,#E77994
Ribostamycin,#8472E5
Rufloxacin,#ACBC87
Sulbenicillin,#50EDA4
Ticarcillin,#4E2F64
Tosufloxacin,#307A21
Cefapirin,#789050
Cefsulodin,#4578D6
Dalfopristin+Quinupristin,#886A98
Flumequine,#349E4C
Cefatrizine,#1B142F
Ceforanide,#BFA55B
Mecillinam,#6844EB
Penamecillin,#E65748
Amoxicillin+Clavulanic acid+Lactobacillus acidophilus,#231416
Arbekacin,#E9E931
Cefadroxil+Clavulanic acid,#E95A22
Cefepime+Sulbactam,#B9281C
Cefixime+Clavulanic acid,#4EB7E8
Cefixime+Clavulanic acid+Lactobacillus acidophilus,#63171D
Cefixime+Linezolid,#6A601A
Cefpodoxime-proxetil+Sulbactam,#8E6C45
Cefuroxime+Sulbactam,#9251BE
Garenoxacin,#85C2A5
Meropenem+Sulbactam,#824B86
Dibekacin,#B64D36
Bacampicillin,#E7E6C2
Clofoctol,#B1A9EA
Rokitamycin,#E5837F
Cefozopran,#8D4762
Cefroxadine,#6B3B3F
Sitafloxacin,#E99873
Amoxicillin+Clavulanic acid+Nimesulide,#7F84C1
Amoxicillin+Clavulanic acid+Lactic ferments,#92687D
Troleandomycin,#6F942D
Trovafloxacin,#C135AD
Pheneticillin,#B76E76
Pivampicillin,#897F27
Cefbuperazone,#1D4035
Sisomicin,#E2ED65
Oleandomycin,#E52EE5
Rosoxacin,#76BE2D
Chlortetracycline,#BB4F1B
Ampicillin+Lidocaine+Sulbactam,#8DC3E1
Cefaclor+Clavulanic acid,#2E186D
Cefdinir+Clavulanic acid,#4445AD
Ceftibuten+Clavulanic acid,#E2A398
Delafloxacin,#3C1F9A
Omadacycline,#42111C
Streptomycin,#A8B160
Cefuroxime axetil,#2C3354
Metronidazole+Spiramycin,#729189
Sulfamethoxazole+Trimethoprim,#E7BFC6
Cilastatin+Imipenem,#CD8641
Sulfametrole+Trimethoprim,#DFA6EA
Ciprofloxacin+Tinidazole,#BA5170
Amoxicillin+Dicloxacillin,#419780
Amoxicillin+Flucloxacillin,#9C7123
Ampicillin+Cloxacillin,#96A02A
Bromhexine+Sulfamethoxazole+Trimethoprim,#2B6E64
Phenazopyridine+Sulfamethoxazole+Trimethoprim,#807E67
Amoxicillin+Dicloxacillin+Saccharomyces boulardii,#7B2AB6
Cefixime+Ofloxacin,#912797
Flavoxate+Ofloxacin,#BA8F74
Metronidazole+Tetracycline,#954342
Amoxicillin+Metronidazole,#A360EA
Guaifenesin+Sulfamethoxazole+Trimethoprim,#5353DE
Pivampicillin+Pivmecillinam,#EBBA8C
Acetylspiramycin+Metronidazole,#9E24EC
