location,my_colours
All,#810000
MIDAS Central America,#4AE953
MIDAS French West Africa,#E224CF
Afghanistan,#883BDB
Albania,#99AC8F
Algeria,#C07347
American Samoa,#EBEFBE
Andorra,#54F5EF
Angola,#EB9CDE
Antigua and Barbuda,#EAF39E
Argentina,#F297C5
Armenia,#F3A636
Australia,#9EA4F1
Austria,#DE3DAC
Azerbaijan,#85638D
Bahrain,#CFF5C0
Bangladesh,#59C19F
Barbados,#F2A28B
Belarus,#8EF4A8
Belgium,#B47E77
Belize,#3B5363
Benin,#4DF12D
Bermuda,#EF57F0
Bhutan,#EA308B
Bolivia,#F53350
Bosnia and Herzegovina,#90E19A
Botswana,#27F8B0
Brazil,#F6F339
Brunei,#CDC7D1
Bulgaria,#F2F1D5
Burkina Faso,#9AF888
Burundi,#C094F0
Cambodia,#AC91D4
Cameroon,#CE65F7
Canada,#E99DBA
Cape Verde,#227C70
Central African Republic,#ED82AC
Chad,#67D05B
Chile,#5CF2A6
China,#4CEEB6
Colombia,#EC9C5C
Comoros,#DA25F9
Congo,#75F1D8
Cook Islands,#B5AED5
Costa Rica,#E466AC
Cote d'Ivoire,#EBF77B
Croatia,#C0412B
Cuba,#F4D9E1
Cyprus,#D5D1F9
Czech Republic,#6BB976
Democratic Republic of the Congo,#B7ECEF
Denmark,#AC31EE
Djibouti,#66A5A5
Dominica,#A65AE8
Dominican Republic,#E5BBAD
Ecuador,#2DEB75
Egypt,#E74DCD
El Salvador,#82A81B
Equatorial Guinea,#B8E2F2
Eritrea,#BEB7F1
Estonia,#7C604D
Ethiopia,#CF46EF
Federated States of Micronesia,#B0A26D
Fiji,#E46A4D
Finland,#7BD9BF
France,#DDF0CC
Gabon,#A8F4B8
Georgia,#B7C8E7
Germany,#A7F3D8
Ghana,#7FF095
Greece,#B15AC8
Greenland,#CFBA97
Grenada,#C5D467
Guam,#CAF32E
Guatemala,#E3A671
Guinea,#C8A9A0
Guinea-Bissau,#C79271
Guyana,#A9E2D9
Haiti,#5C82F2
Honduras,#9FBA81
Hungary,#E8BB90
Iceland,#F395F3
India,#E3E7EE
Indonesia,#64D7E4
Iran,#798292
Iraq,#EABEF3
Ireland,#BC3C6F
Israel,#D97AC2
Italy,#C8DCD1
Jamaica,#93C4DF
Japan,#BEF0E1
Jordan,#F3D8BE
Kazakhstan,#90CF9E
Kenya,#D8A354
Kiribati,#775EF7
Kuwait,#3BAFAE
Kyrgyzstan,#E875E1
Laos,#DE9DCC
Latvia,#D4EDA6
Lebanon,#90C760
Lesotho,#E681F4
Liberia,#30934C
Libya,#BAAA3B
Lithuania,#E9A5A8
Luxembourg,#EE77D0
Macedonia,#F1828F
Madagascar,#6ED0C9
Malawi,#472CB5
Malaysia,#94ABD9
Maldives,#4D97AE
Mali,#ECD8F1
Malta,#F6CAE3
Marshall Islands,#4365A9
Mauritania,#D6D840
Mauritius,#39EBCE
Mexico,#AE70C3
Moldova,#F0502C
Monaco,#D2ABEC
Mongolia,#79C6F2
Montenegro,#31254E
Morocco,#ACF295
Mozambique,#F4E9AE
Myanmar,#94E2EC
Namibia,#578BEC
Nauru,#EDC5C3
Nepal,#C8AABB
Netherlands,#B1F379
New Zealand,#89B6F1
Nicaragua,#9ED38A
Niger,#CC5CDF
Nigeria,#E16782
Niue,#37E7EB
North Korea,#31CCC9
Northern Mariana Islands,#46BFF7
Norway,#75A2ED
Oman,#5A20EC
Pakistan,#A2507B
Palau,#83B0AB
Palestine,#7E62CE
Panama,#A375EE
Papua New Guinea,#9C2886
Paraguay,#3B7DB6
Peru,#BECBB3
Philippines,#E0405F
Poland,#D2C1B0
Portugal,#83E6BA
Puerto Rico,#D5E3F9
Qatar,#AC5A59
Republic of Korea,#E27F21
Romania,#E4D690
Russia,#6D9146
Rwanda,#97E9E4
Saint Kitts and Nevis,#EECC6F
Saint Lucia,#90C5B0
Saint Vincent and the Grenadines,#5FD2F5
Samoa,#8DD6F6
San Marino,#4DB659
Sao Tome and Principe,#435E59
Saudi Arabia,#AC859C
Senegal,#498DD6
Serbia,#75826B
Seychelles,#8CA1B7
Sierra Leone,#58A5D8
Singapore,#E8DF75
Slovakia,#B536B9
Slovenia,#BFBF6B
Solomon Islands,#F16A6B
Somalia,#C470F0
South Africa,#857BD0
South Korea,#34D1E9
South Sudan,#4AD59B
Spain,#59A688
Sri Lanka,#ABBABD
Sudan,#CCEF8B
Suriname,#D0F3E6
Swaziland,#F3B4D0
Sweden,#8EC3CD
Switzerland,#767FA5
Syria,#C916DB
Taiwan,#E6F6E9
Tajikistan,#EDC332
Tanzania,#A893F4
Thailand,#CEF7D7
The Bahamas,#E37B72
The Gambia,#F320ED
Timor-Leste,#B2D8AF
Togo,#AA4D9F
Tokelau,#6147F4
Tonga,#BBD385
Trinidad and Tobago,#58358E
Tunisia,#F7F8F5
Turkey,#8BF5F6
Turkmenistan,#A3DD41
Tuvalu,#85EF66
Uganda,#D1F661
Ukraine,#99F133
United Arab Emirates,#D789ED
United Kingdom,#30DA83
United States,#E28B98
Uruguay,#E9D6CB
Uzbekistan,#EB71EF
Vanuatu,#74AFCC
Venezuela,#99D5B6
Vietnam,#9B8F81
"Virgin Islands, U.S.",#4867E9
Yemen,#3BB6D8
Zambia,#F9D39A
Zimbabwe,#EF20BB
Hong Kong,#5FF48B
