Country,Segment,Total Coverage,publication_year,Audit Name,Audit Type,Data Source,Universe,Projection,Frequency (MIDAS),Backdata (MIDAS),Sales Level,Local Currency,Icons not on MIDAS,Segments not covered,"Covered locally, not on MIDAS",Notes,Market Segment,Frequency (Local),Backdata (Local),Corporation,Market Segmentation
Vietnam,Hospital,1,2022,Vietnam Total Market Audit (VTMA),Hospital Sell-in,Distributors & direct manufacturers + panel data from 163 in-patient and 157 out-patient hospital pharmacies,"1,189 hospitals with 336,750 beds","Data from distributors and direct manufacturers is un-projected.
For non-contributors, Hospital pharmacy panel data projected by type (in-patient & out-patient), bed size (?25 beds) and region (HCMC, Hanoi and Rest of Vietnam)",Quarterly,2017Q1 onwards,Trade,Vietnam Dong (millions),-,"•   Polyclinics and private clinics or doctor private practices
•   Veterinary centers","Regional split: HCMC, Hanoi and Rest of Vietnam","Notes

•    VTMA covers in-patient and out-patient hospitals and health centers comprehending general and specialty outlets (private
and public)

•    The audit sources data from Distributors and Direct Manufacturers (DDM) and a sample of 163 in-patient and 157 out-patient hospital pharmacies nationwide. The DDM data suppliers include the two biggest drug distributors in addition to direct manufacturers, i.e., companies with their own distribution network and facilities

•    The panel of hospital pharmacies supplies data for companies not providing DDM data to IQVIA. A projection factor is then applied to this data. The panel consists of both in-patient and out-patient hospitals with at least 25 beds.

•    The panel of hospitals pharmacies does not include any health-related center associated to the following: military, law enforcement institutions, fire departments, education and religious centers, drug abuse treatment centers and mental health institutions",0.44,Quarterly,2017Q1 onwards,Local,Local
Vietnam,Retail,1,2022,Vietnam Total Market Audit (VTMA),Retail Sell-in,"Distributors & direct manufacturers data and panel data from 1,264 pharmacies
(606 urban chain outlets + 452 urban independent outlets + 206 rural independent outlets)","70,586 Pharmacies (incl. urban chains, urban independent & rural independent) + 1,550 Wholesalers + 779 (Polyclinics/Doctors) + 10,178 Other non-hospital channels","Data from distributors and direct manufacturers is un-projected.
For non-contributors, Pharmacy panel data is projected by type (urban and rural) and region (HCMC, Hanoi and Rest of Vietnam)",Quarterly,2017Q1 onwards,Trade,Vietnam Dong (millions),-,"•    Modern Trade channels such as CVS (Convenience Stores) and Retail (Supermarkets)
•    Traditional Trade channels such as Wet Markets and Mom & Pops stores
•    Online vendors (i.e., Lazada, Shopee, Tiki, Sendo, etc.)
•    Dental and beauty clinics","Regional split: HCMC, Hanoi and Rest of Vietnam","Notes

•    VTMA comprehends both Hospitals and Retail channels, where Retail (RT) consist of sales from: pharmacies (chain & independent), polyclinics, private practices (doctors), wholesalers, institutes & vaccination centers and any other existing channel that is not defined as an out-patient and/or in-patient hospital

•    The audit sources data from Distributors and Direct Manufacturers (DDM) and a sample of 1,264 pharmacies nationwide. The DDM data suppliers include the two biggest drug distributors in addition to direct manufacturers, i.e., companies
with their own distribution network and facilities

•    The panel of 1,264 pharmacies supplies data for companies not providing DDM data to IQVIA. A projection factor is then applied to this data. The panel consists of both chain and independent pharmacies within the urban and rural areas of Vietnam",0.56,Quarterly,2017Q1 onwards,Local,Local
Venezuela,Retail,0.78,2022,"Mercado Farmacéutico Venezuela
(Pharmaceutical Market Venezuela (PMV))",Retail Sell-in,32 Wholesalers,155 Wholesalers & pharmacy chains,Regional projection factors for wholesalers,Monthly,144 months,Trade,US Dollars*,"DDD, local molecule coding","Hospitals, clinics",-,"Notes

•    The PMV is based on data supplied by 32 wholesalers. This data is classified as
indirect sales, with the exception of data from
6 wholesalers which are classified as direct sales

•    A panel of 32 wholesalers provides total sales figures to pharmacies, broken down into six country regions. Regional projection factors for wholesalers are used in reporting the data

•    Market coverage includes Generics and Ethical products. The OTC products are covered by the audit if they are sold through pharmacies

•    *The reporting currency in Venezuela was changed from the Bolivar Fuerte to the US Dollar effective Dec’17 following ongoing anticipated high level of inflation in Venezuela and the associated challenges facing the presentation of the local currency values
on MIDAS",0.78,Monthly,60 months,Local,Local
Uruguay,Mutuales,0.69,2022,Uruguay Mutuales,Retail Sell-in,4 mutuales in Montevideo and 7 in the rest of the country,45 mutuales,Yes,Monthly,144 months,Trade,Uruguay Peso,-,"Public, private hospitals",-,"Notes

•   Mutuales are integrated institutions providing health care services through Labour Unions, functioning in the same way as medical insurance companies
•   The Mutuales are audited separately to the Uruguay Pharmacy audit due to their different purchasing behaviour in comparison to pharmacies since in general Mutuales purchase in bulk direct from manufacturers
•   Sales to public and private hospitals not covered by the “Organized Mutual Aid” system are not included",0.42,Monthly,60 months,Local and MIDAS,Local
Uruguay,Retail,0.69,2022,Pharmaceutical Market Uruguay (PMU),Retail Sell-in,175 Pharmacies and 5 Wholesalers,"992 Pharmacies, 10 wholesalers",Yes,Monthly,144 months,Trade,Uruguay Peso,-,-,-,"Notes

•   The PMU estimates pharmaceutical product sales, in units and values, via wholesalers and pharmacies (Independent and belonging to pharmacy chains in panel)",0.27,Monthly,60 months,Local and MIDAS,Local
United States of America,Retail and Hospital,0.89,2022,National Sales Perspectives (NSP),Retail and Hospital sell-in,"222 Wholesalers, 44 chain warehouses, 168 Mail Service reporting locations, 100 manufacturers, 300 non-federal hospital panel","442 wholesalers, 222 drug and food chains, 404 mail service pharmacies","Indirect and non-DDD data is projected
Direct and mail service data is not projected",Monthly,144 months,Trade,US Dollars,"USC, local molecule coding, product form classification",-,-,"Notes

•    National Sales Perspectives™ measures sales of pharmaceutical products purchased by retail outlets (Chain and Independent pharmacies, Mass Merchandisers, Food stores with Pharmacies and Mail Service pharmacies) and non-retail outlets (Non- Federal Hospitals, Federal Facilities, Clinics, LTC, HMO, Home Health Care, and Miscellaneous). Sales data is collected from Direct and Indirect sources. Direct sales to retail and non-retail outlets are provided by approximately 100 pharmaceutical manufacturers. Indirect sales to retail and non- retail outlets are provided by withdrawal records from a panel of wholesalers and chain warehouses representing the most comprehensive coverage of warehouses throughout the United States. National Sales Perspectives provides 97% channel coverage of national pharmaceutical sales in the US at invoice transaction price. Projected indirect, projected hospital panel, unprojected Mail Service and actual DDD direct sales are added together to determine national estimates

Extra notes...

USA retail:

•   USA retail sales figures are obtained from indirect and direct sources
•   The primary sources of Indirect Data are wholesaler and chain warehouses accessed via the DDD™ system. The DDD™ data are adjusted to reflect non-covered warehouses. A sample warehouse panel supplements the DDD™ data by providing sales of non- DDD™ products. Sample warehouse data are projected nationally to reflect non-covered warehouses. For Direct Data, approximately 100 manufacturers provide direct sales to DDD™ which are included in the audit. Non-reporting manufacturer direct sales are not estimated. This omission is approximately 0.1% of National Sales Perspectives: Retail ™ estimates
•   USA Retail Pharmacies Audit covers 57,965 Chain and Independent Pharmacies, Mass Merchandisers, Proprietary Stores and Foodstores with Pharmacies

USA hospital:

•   The hospital audit for the USA comprises purchases of ethical, OTC and generic pharmaceuticals by:
•   Non-Federal Hospitals (5,321 private hospitals, city/county/state hospitals, and psychiatric hospitals)
•   Clinics (176,677 cancer treatment centres, outpatient clinics, convenience care centres, dialysis clinics, family planning centres, X-ray, radiology, urology and nephrology clinics, surgical centres, and emergency centres)
•   HMO (2,994 HMO warehouses/purchasing agents, HMO hospitals, HMO clinics)
•   Long-Term Care (3,194 nursing homes and nursing home pharmacies)
•   Federal Facilities (982 federal government depots and hospital agents, non-VA federal government hospitals and outpatient care facilities
•   Home Health Care (4,068 home health care
services)
•   Miscellaneous Other (26,193 prisons, export company, Universities & other Miscellaneous organizations)

USA mail service:

•   The unprojected NSP™ Mail Service channel uses: Of the 404 mail service pharmacies in the universe (this includes reporting and non- reporting standard, specialty, and internet pharmacies), 168 locations report their shipped sales. For the remaining 236 mail pharmacies that do not report shipments, IQVIA captures the DDD™ reported pharmaceutical distributor sell-in to the locations from approximately 100 pharmaceutical manufacturers and wholesaler & chain distributors
•   Mail Service universe was redefined due to supplier blocking to exclude Federal government military health care system and VA Government mail sales

",0.97,Monthly,36 months,Local,Local
United Kingdom,Hospital,0.93,2022,Hospital Pharmacy Audit Index (HPAI),Hospital Consumption,~97% of total NHS beds,"179,186 total NHS acute beds","Yes, based on a sample of hospital beds projected to universe level",Monthly,144 months,Trade,Pound Sterling,-,"PrivaPrivate hospitals, military hospitals",Historical product ownership,"Notes

•    The IQVIA Hospital Pharmacy audit (HPAI), provides a comprehensive record of usage of medicinal products by NHS hospitals. It monitors usage/consumption levels by end user hospitals – rather than sales into large hospital buying points per se

•    The HPAI monitors usage of all pharmaceutical products within the hospital – irrespective of their source of supply. Product sales from wholesalers, direct from manufacturers or via other hospitals are all automatically covered

•    The audit does not currently cover the private or military sectors

•    On MIDAS, all the backdated sales of a product will be linked to the current owning company. Normally, when a product is transferred to a new manufacturer, the sales data is transferred with it, although on the IQVIA National Database in the UK, data can be seen split out and as a result historical data from these systems may not match with data from MIDAS",0.25,Monthly,60 months,Local,Local and MIDAS
United Kingdom,Retail,0.93,2022,British Prescription Based Services (PBS),Retail Sell-Out,Prescription data from 82% of pharmacies + direct sales panel,"13,480 pharmacies",Yes,Monthly,144 months,Trade,Pound Sterling,-,Internet pharmacies,Historical product ownership,"Notes

•    Any pharmaceutical product that is bought over the counter (P and GSL products) will not be recorded within Xponent BPI. If a P or GSL product is prescribed by a GP and the prescription dispensed to a patient then it will be included in Xponent BPI

•    Prescription data is provided by ~82% of retail pharmacies. Wholesaler sell-in data to Dispensing doctor accounts is also included as a proxy for dispensed product

•    A very small proportion of Dispensing Doctor purchases are direct from manufacturers and from some small wholesalers not supplying sales information to IQVIA

•    On MIDAS, all the backdated sales of a product will be linked to the current owning company. Normally, when a product is transferred to a new manufacturer, the sales data is transferred with it, although on the IQVIA National Database in the UK, data can be seen split out and as a result historical data from these systems may not match with data from MIDAS",0.64,Monthly,60 months,Local,Local and MIDAS
United Arab Emirates,Retail,0.58,2022,United Arab Emirates Pharmaceutical Index (UAEP),Retail Sell-in,"33 pharmacies, 25 distributors","1,314 pharmacies, 154 private hospitals",Yes,Monthly,144 months,Public,UAE Dirham,-,Government and semi-government institutions,Local Purchase Order,"Notes

•   UAEP audit does not cover the consumption of drugs distributed directly by health centers, hospitals and government institutions
•   The market covered includes Abu Dhabi, Al Ain, Dubai, Sharjah and Northern Emirates
•   The locally available UAE Local Purchase Order Indicator measures direct sales from panel distributors to institutional and semi-institutional hospitals & organizations. ULP does not covers direct obverses tenders",0.58,Monthly,60 months,Local,-
Ukraine,Hospital,~1.0,2022,Ukraine Quarterly Hospital,Hospital Sell-in,"570 Hospitals, National Tender data, Distributors reports","2,500 Hospitals",Yes,Quarterly,From Q1 2010,Trade,Ukrainian Hryvnia,-,-,Private hospitals,"Notes

•   The Ukraine Hospital audit covers sales of ethical pharmaceuticals through national, regional and local wholesalers to hospitals and other medical institutions
•   Sales from national tender via government officials are also covered
•   Ukraine data via IQVIA is hospital data supplied by Proxima and then subject to IQVIA coding & product reference rules. As a result there are differences in product reference coding and differences in the use of ATC classification between IQVIA outputs and Proxima outputs
•   Ukraine data on MIDAS is restricted, and not available for purchase unless an underlying subscription to the local Proxima audit is in place",0.12,Monthly,From M01 2007,Local,-
