COUNTRY_ID,country,year,p.mean,p.lower,p.upper
BGD,Bangladesh,1990,0.047630462,4.46E-05,0.38626342
BGD,Bangladesh,1991,0.051654925,5.79E-05,0.369898159
BGD,Bangladesh,1992,0.057581449,8.78E-05,0.391471574
BGD,Bangladesh,1993,0.060960504,0.000159626,0.396497202
BGD,Bangladesh,1994,0.071597462,0.000232003,0.432920416
BGD,Bangladesh,1995,0.081571356,0.000354761,0.435958954
BGD,Bangladesh,1996,0.114372362,0.000688938,0.576892147
BGD,Bangladesh,1997,0.148177448,0.001640011,0.669590557
BGD,Bangladesh,1998,0.171425748,0.002133437,0.719634855
BGD,Bangladesh,1999,0.209848656,0.003276908,0.818869934
BGD,Bangladesh,2000,0.279960102,0.006483077,0.853355458
BGD,Bangladesh,2001,0.334629741,0.012562201,0.916103439
BGD,Bangladesh,2002,0.427990861,0.023318095,0.954702067
BGD,Bangladesh,2003,0.525548485,0.040156207,0.980395481
BGD,Bangladesh,2004,0.58190434,0.060046529,0.983977429
BGD,Bangladesh,2005,0.654509612,0.09125267,0.992129097
BGD,Bangladesh,2006,0.694705504,0.125887219,0.992070723
BGD,Bangladesh,2007,0.750644204,0.18681832,0.995681069
BGD,Bangladesh,2008,0.84809669,0.323958415,0.998706008
BGD,Bangladesh,2009,0.88991402,0.474964308,0.999252986
BGD,Bangladesh,2010,0.886144866,0.450592036,0.999063984
BGD,Bangladesh,2011,0.865103238,0.405905025,0.998952546
BGD,Bangladesh,2012,0.919733303,0.555538248,0.999586225
BGD,Bangladesh,2013,0.907251488,0.516951899,0.999426988
BGD,Bangladesh,2014,0.933813513,0.581114185,0.999665988
BGD,Bangladesh,2015,0.933198034,0.625076719,0.999679758
BGD,Bangladesh,2016,0.907826684,0.476937807,0.999442386
BGD,Bangladesh,2017,0.937667176,0.616700355,0.999803583
BGD,Bangladesh,2018,0.946445226,0.63542405,0.999867196
BGD,Bangladesh,2019,0.95040484,0.64656447,0.999916964
BTN,Bhutan,1990,0.034436751,3.43E-05,0.272203773
BTN,Bhutan,1991,0.038490815,4.43E-05,0.265788142
BTN,Bhutan,1992,0.047193982,8.66E-05,0.306819686
BTN,Bhutan,1993,0.052370971,0.000145477,0.340914515
BTN,Bhutan,1994,0.079019159,0.000324606,0.454547137
BTN,Bhutan,1995,0.103591588,0.000706616,0.508816689
BTN,Bhutan,1996,0.137801188,0.001349835,0.624760021
BTN,Bhutan,1997,0.202208536,0.00358357,0.739211364
BTN,Bhutan,1998,0.166438543,0.003460346,0.670483273
