country,year_id,location_id,pathogen,antimicrobial,nid,n_resistant,val,sample_size,hospital_community,inpatient_outpatient,isolate_source,interpretation_guidelines,age_group,notes,age_group_id,variance,sex_id,is_outlier,measure_id,citation,citation_short
Serbia,2016,53,Klebsiella pneumoniae,3GC,CAESAR 2017,392,0.9011,435,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.020945341,3,0,18,XXX,Author (year)
Serbia,2015,53,Klebsiella pneumoniae,3GC,CAESAR 2016,331,0.9093,364,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.027542193,3,0,18,XXX,Author (year)
Serbia,2014,53,Klebsiella pneumoniae,3GC,CAESAR 2016,288,0.8889,324,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.024694136,3,0,18,XXX,Author (year)
Serbia,2013,53,Klebsiella pneumoniae,3GC,CAESAR 2014,268,0.8816,304,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.024493243,3,0,18,XXX,Author (year)
Belarus,2014,57,Klebsiella pneumoniae,3GC,CAESAR 2016,204,0.8987,227,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.039082239,3,0,18,XXX,Author (year)
Bosnia and Herzegovina,2015,44,Klebsiella pneumoniae,3GC,CAESAR 2016,136,0.7684,177,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.018744572,3,0,18,XXX,Author (year)
Bosnia and Herzegovina,2017,44,Klebsiella pneumoniae,3GC,CAESAR 2018,95,0.6333,150,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.011513499,3,0,18,XXX,Author (year)
Bosnia and Herzegovina,2016,44,Klebsiella pneumoniae,3GC,CAESAR 2017,107,0.7181,149,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.017096357,3,0,18,XXX,Author (year)
Belarus,2013,57,Klebsiella pneumoniae,3GC,CAESAR 2014,70,0.9211,76,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.153608832,3,0,18,XXX,Author (year)
Georgia,2017,35,Klebsiella pneumoniae,3GC,CAESAR 2018,50,0.8929,56,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.148876217,3,0,18,XXX,Author (year)
Kosovo,2016,NA,Klebsiella pneumoniae,3GC,CAESAR 2017,36,0.8571,42,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.142807158,3,0,18,XXX,Author (year)
Macedonia,2014,49,Klebsiella pneumoniae,3GC,CAESAR 2016,31,0.8158,38,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.116549517,3,0,18,XXX,Author (year)
Kosovo,2017,NA,Klebsiella pneumoniae,3GC,CAESAR 2018,37,0.9737,38,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.974284571,3,0,18,XXX,Author (year)
Macedonia,2013,49,Klebsiella pneumoniae,3GC,CAESAR 2014,31,0.8857,35,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.221397325,3,0,18,XXX,Author (year)
Georgia,2016,35,Klebsiella pneumoniae,3GC,CAESAR 2017,32,0.9697,33,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.96979698,3,0,18,XXX,Author (year)
Montenegro,2017,50,Klebsiella pneumoniae,3GC,CAESAR 2018,28,0.9655,29,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.965017491,3,0,18,XXX,Author (year)
Ukraine,2017,63,Klebsiella pneumoniae,3GC,CAESAR 2018,18,0.6207,29,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.056428812,3,0,18,XXX,Author (year)
Montenegro,2016,50,Klebsiella pneumoniae,3GC,CAESAR 2017,24,0.8889,27,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.296329633,3,0,18,XXX,Author (year)
Macedonia,2015,49,Klebsiella pneumoniae,3GC,CAESAR 2016,21,0.875,24,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.291666667,3,0,18,XXX,Author (year)
Macedonia,2017,49,Klebsiella pneumoniae,3GC,CAESAR 2018,17,0.8095,21,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,0.202349706,3,0,18,XXX,Author (year)
Macedonia,2016,49,Klebsiella pneumoniae,3GC,CAESAR 2017,19,1,19,not specified,not specified,invasive (blood/CSF/bone marrow),not specified,not specified,NA,22,Inf,3,0,18,XXX,Author (year)
