COUNTRY_ID,country,year,p.mean,p.lower,p.upper
BGD,Bangladesh,1990,0.015062791,1.53E-05,0.114195786
BGD,Bangladesh,1991,0.013615083,1.69E-05,0.099133579
BGD,Bangladesh,1992,0.012888213,1.49E-05,0.11045209
BGD,Bangladesh,1993,0.013317202,1.99E-05,0.109835895
BGD,Bangladesh,1994,0.012981761,1.89E-05,0.090534783
BGD,Bangladesh,1995,0.012349214,1.96E-05,0.087004743
BGD,Bangladesh,1996,0.012256279,1.89E-05,0.088531166
BGD,Bangladesh,1997,0.011817969,1.60E-05,0.097478139
BGD,Bangladesh,1998,0.011864967,1.94E-05,0.08710348
BGD,Bangladesh,1999,0.011639899,2.09E-05,0.091657733
BGD,Bangladesh,2000,0.012085233,2.57E-05,0.0898673
BGD,Bangladesh,2001,0.012531586,2.26E-05,0.103078168
BGD,Bangladesh,2002,0.012749519,2.61E-05,0.094558661
BGD,Bangladesh,2003,0.01279692,2.53E-05,0.09044011
BGD,Bangladesh,2004,0.013822856,3.63E-05,0.119266095
BGD,Bangladesh,2005,0.01404127,3.53E-05,0.108514304
BGD,Bangladesh,2006,0.014329175,3.36E-05,0.111808851
BGD,Bangladesh,2007,0.012795225,2.56E-05,0.095337931
BGD,Bangladesh,2008,0.01294982,2.57E-05,0.103348795
BGD,Bangladesh,2009,0.012105639,2.28E-05,0.093924756
BGD,Bangladesh,2010,0.012139544,2.62E-05,0.083745821
BGD,Bangladesh,2011,0.014172588,3.11E-05,0.113676045
BGD,Bangladesh,2012,0.015515407,2.90E-05,0.119574507
BGD,Bangladesh,2013,0.015511853,3.49E-05,0.128439542
BGD,Bangladesh,2014,0.016755724,3.73E-05,0.141895856
BGD,Bangladesh,2015,0.016445425,3.09E-05,0.126779066
BGD,Bangladesh,2016,0.015964037,3.26E-05,0.134522894
BGD,Bangladesh,2017,0.016285249,2.79E-05,0.123573085
BGD,Bangladesh,2018,0.016280386,2.91E-05,0.128807755
BGD,Bangladesh,2019,0.01601519,2.52E-05,0.128994799
BTN,Bhutan,1990,0.016630762,2.10E-05,0.136175769
BTN,Bhutan,1991,0.015311917,2.07E-05,0.130065986
BTN,Bhutan,1992,0.014573241,2.10E-05,0.122725207
BTN,Bhutan,1993,0.014661629,2.24E-05,0.118279996
BTN,Bhutan,1994,0.014170174,2.50E-05,0.103544145
BTN,Bhutan,1995,0.013887158,2.28E-05,0.105842241
BTN,Bhutan,1996,0.0135628,2.10E-05,0.103265367
BTN,Bhutan,1997,0.013137352,2.11E-05,0.109253814
BTN,Bhutan,1998,0.013313877,2.07E-05,0.104879421
BTN,Bhutan,1999,0.013289136,2.44E-05,0.102479416
BTN,Bhutan,2000,0.01340967,2.53E-05,0.089819934
BTN,Bhutan,2001,0.014025461,3.13E-05,0.119747267
BTN,Bhutan,2002,0.01417497,2.76E-05,0.103276516
BTN,Bhutan,2003,0.014242485,3.29E-05,0.118783209
BTN,Bhutan,2004,0.015906826,3.70E-05,0.126053278
BTN,Bhutan,2005,0.015689887,4.14E-05,0.123402278
BTN,Bhutan,2006,0.015939888,4.35E-05,0.12555287
BTN,Bhutan,2007,0.014732638,3.49E-05,0.115982953
BTN,Bhutan,2008,0.014849799,3.45E-05,0.122950276
BTN,Bhutan,2009,0.013878057,3.28E-05,0.101182961
BTN,Bhutan,2010,0.014048151,3.38E-05,0.095092357
BTN,Bhutan,2011,0.016372226,4.06E-05,0.118127141
BTN,Bhutan,2012,0.017905839,3.74E-05,0.152550153
BTN,Bhutan,2013,0.017764419,4.17E-05,0.147074457
BTN,Bhutan,2014,0.019675394,4.12E-05,0.151620949
BTN,Bhutan,2015,0.017934278,3.28E-05,0.125811787
BTN,Bhutan,2016,0.018094516,3.69E-05,0.142580459
BTN,Bhutan,2017,0.018223659,3.24E-05,0.119803509
BTN,Bhutan,2018,0.018764613,3.63E-05,0.14757994
BTN,Bhutan,2019,0.017695614,3.23E-05,0.132728446
CHN,China,1990,0.017197809,2.46E-05,0.131845833
CHN,China,1991,0.016000358,2.19E-05,0.13068735
CHN,China,1992,0.014873488,2.18E-05,0.127173215
CHN,China,1993,0.015377126,2.28E-05,0.120934954
CHN,China,1994,0.014576407,2.57E-05,0.112145489
CHN,China,1995,0.014442612,2.42E-05,0.108781803
CHN,China,1996,0.014230855,2.63E-05,0.10997556
CHN,China,1997,0.013610505,2.55E-05,0.09949169
CHN,China,1998,0.013649608,2.36E-05,0.113108197
CHN,China,1999,0.013892662,3.06E-05,0.100327333
CHN,China,2000,0.014386987,3.19E-05,0.103501098
CHN,China,2001,0.014910099,2.89E-05,0.134969279
CHN,China,2002,0.014813421,2.98E-05,0.13436
CHN,China,2003,0.015241245,3.64E-05,0.124733626
CHN,China,2004,0.016600473,4.19E-05,0.132578649
CHN,China,2005,0.016735291,4.78E-05,0.136938355
CHN,China,2006,0.017078402,4.32E-05,0.145582333
CHN,China,2007,0.015802063,3.58E-05,0.1397435
CHN,China,2008,0.01576341,3.58E-05,0.122275735
CHN,China,2009,0.014817944,3.81E-05,0.122541056
CHN,China,2010,0.015011005,3.49E-05,0.121116739
CHN,China,2011,0.017585402,4.79E-05,0.142864148
CHN,China,2012,0.01917383,4.51E-05,0.16649431
CHN,China,2013,0.019121479,4.60E-05,0.165973499
CHN,China,2014,0.020857125,4.07E-05,0.175731303
CHN,China,2015,0.019538481,3.85E-05,0.152729231
CHN,China,2016,0.019581172,4.25E-05,0.162187128
CHN,China,2017,0.019549237,4.21E-05,0.157815141
CHN,China,2018,0.020016927,4.01E-05,0.179489087
CHN,China,2019,0.01965089,3.18E-05,0.164015801
IDN,Indonesia,1990,0.055137233,8.33E-05,0.427701186
IDN,Indonesia,1991,0.052866834,5.73E-05,0.402377454
IDN,Indonesia,1992,0.051820275,6.88E-05,0.395542536
IDN,Indonesia,1993,0.051089114,7.69E-05,0.387056036
IDN,Indonesia,1994,0.050347415,9.14E-05,0.350533005
IDN,Indonesia,1995,0.048889687,9.10E-05,0.394085193
IDN,Indonesia,1996,0.047815996,0.000101407,0.368592249
IDN,Indonesia,1997,0.047644914,9.17E-05,0.368513303
IDN,Indonesia,1998,0.047936277,8.15E-05,0.368093596
IDN,Indonesia,1999,0.048426704,0.000103008,0.354200422
IDN,Indonesia,2000,0.050393575,9.39E-05,0.359985778
IDN,Indonesia,2001,0.050981083,9.63E-05,0.382862032
IDN,Indonesia,2002,0.050370792,0.000107017,0.384180302
IDN,Indonesia,2003,0.052660951,0.000110562,0.427449037
IDN,Indonesia,2004,0.055702223,0.000181883,0.403262237
IDN,Indonesia,2005,0.056244025,0.000174457,0.406055021
IDN,Indonesia,2006,0.0567671,0.000145497,0.417266013
IDN,Indonesia,2007,0.052866998,0.000121969,0.375040658
IDN,Indonesia,2008,0.052579768,0.000120667,0.384930779
IDN,Indonesia,2009,0.050456141,9.58E-05,0.386564412
IDN,Indonesia,2010,0.051549359,9.25E-05,0.385361888
IDN,Indonesia,2011,0.057730572,0.00014864,0.431527494
IDN,Indonesia,2012,0.063276249,0.000158877,0.463797832
IDN,Indonesia,2013,0.062440027,0.000193739,0.433154728
IDN,Indonesia,2014,0.067138887,0.000175175,0.460515054
IDN,Indonesia,2015,0.062445551,0.000145932,0.433712897
IDN,Indonesia,2016,0.062798025,0.000143832,0.452898723
IDN,Indonesia,2017,0.062612166,0.00015356,0.431998931
IDN,Indonesia,2018,0.063263743,0.000158072,0.443744281
IDN,Indonesia,2019,0.062990029,0.000124454,0.437683286
IND,India,1990,0.016138463,2.21E-05,0.125104321
IND,India,1991,0.014972886,2.18E-05,0.131614451
IND,India,1992,0.014326413,2.11E-05,0.123390916
IND,India,1993,0.014382849,2.25E-05,0.112827122
IND,India,1994,0.013870276,2.41E-05,0.103216781
IND,India,1995,0.013584646,2.35E-05,0.108251652
IND,India,1996,0.013344537,2.45E-05,0.098812257
IND,India,1997,0.012742325,2.15E-05,0.098394348
IND,India,1998,0.01295531,1.99E-05,0.102240089
IND,India,1999,0.013079516,2.80E-05,0.093956197
IND,India,2000,0.013278295,2.95E-05,0.094084668
IND,India,2001,0.013926061,3.11E-05,0.118542645
IND,India,2002,0.013520305,3.06E-05,0.105431123
IND,India,2003,0.014184895,3.16E-05,0.116475387
IND,India,2004,0.015749566,3.91E-05,0.116820198
IND,India,2005,0.015711416,4.40E-05,0.123800044
IND,India,2006,0.015705196,4.28E-05,0.128022503
IND,India,2007,0.014430172,3.65E-05,0.11158241
IND,India,2008,0.014573911,3.73E-05,0.118416719
IND,India,2009,0.013651258,3.09E-05,0.110605164
IND,India,2010,0.01392594,3.22E-05,0.113759151
IND,India,2011,0.016182828,3.85E-05,0.13919146
IND,India,2012,0.017800768,3.89E-05,0.147118523
IND,India,2013,0.017665606,4.31E-05,0.150796552
IND,India,2014,0.01974446,3.82E-05,0.170851333
IND,India,2015,0.018357641,3.96E-05,0.15162892
IND,India,2016,0.01828022,3.90E-05,0.14335643
IND,India,2017,0.018521021,3.46E-05,0.139706791
IND,India,2018,0.018756168,3.62E-05,0.160257985
IND,India,2019,0.018393229,3.04E-05,0.143685822
KHM,Cambodia,1990,0.016553815,2.05E-05,0.132063589
KHM,Cambodia,1991,0.01524699,2.19E-05,0.134075309
KHM,Cambodia,1992,0.014265508,2.29E-05,0.121958381
KHM,Cambodia,1993,0.014576227,2.28E-05,0.112922833
KHM,Cambodia,1994,0.014052493,2.29E-05,0.118926147
KHM,Cambodia,1995,0.013912202,2.31E-05,0.108500204
KHM,Cambodia,1996,0.013609147,2.69E-05,0.122002747
KHM,Cambodia,1997,0.013047723,2.31E-05,0.107044776
KHM,Cambodia,1998,0.013062619,2.21E-05,0.105111747
KHM,Cambodia,1999,0.013081527,2.45E-05,0.098955951
KHM,Cambodia,2000,0.013594207,2.74E-05,0.099468667
KHM,Cambodia,2001,0.014040473,2.79E-05,0.119673139
KHM,Cambodia,2002,0.014118333,2.83E-05,0.123321846
KHM,Cambodia,2003,0.014259633,2.96E-05,0.124829899
KHM,Cambodia,2004,0.015958162,4.03E-05,0.14063233
KHM,Cambodia,2005,0.015958871,4.09E-05,0.137571711
KHM,Cambodia,2006,0.016177921,4.30E-05,0.148315079
KHM,Cambodia,2007,0.014804786,3.41E-05,0.128877122
KHM,Cambodia,2008,0.014795745,3.43E-05,0.125007434
KHM,Cambodia,2009,0.013951338,3.19E-05,0.107775346
KHM,Cambodia,2010,0.01398883,3.42E-05,0.109942025
KHM,Cambodia,2011,0.016479158,3.99E-05,0.124146807
KHM,Cambodia,2012,0.017786275,3.75E-05,0.140507218
KHM,Cambodia,2013,0.017827662,3.86E-05,0.145791269
KHM,Cambodia,2014,0.019629808,4.24E-05,0.151530971
KHM,Cambodia,2015,0.018501548,3.74E-05,0.133171084
KHM,Cambodia,2016,0.018079227,3.66E-05,0.127042763
KHM,Cambodia,2017,0.018483653,2.86E-05,0.134976675
KHM,Cambodia,2018,0.018348191,3.54E-05,0.142726315
KHM,Cambodia,2019,0.017926966,2.72E-05,0.144520676
LAO,Laos,1990,0.016785608,1.84E-05,0.12572283
LAO,Laos,1991,0.015302748,2.02E-05,0.12467189
LAO,Laos,1992,0.014627062,1.83E-05,0.130234249
LAO,Laos,1993,0.015104568,2.38E-05,0.123571687
LAO,Laos,1994,0.014280466,2.26E-05,0.120927323
LAO,Laos,1995,0.013961238,2.32E-05,0.120705326
LAO,Laos,1996,0.014028858,2.69E-05,0.125633105
LAO,Laos,1997,0.013513434,2.13E-05,0.113978006
LAO,Laos,1998,0.013510899,2.26E-05,0.101778044
LAO,Laos,1999,0.013551629,2.68E-05,0.103321276
LAO,Laos,2000,0.013954576,2.99E-05,0.108563988
LAO,Laos,2001,0.014866233,2.86E-05,0.133867959
LAO,Laos,2002,0.014308277,2.92E-05,0.118060829
LAO,Laos,2003,0.014594033,3.18E-05,0.123463544
LAO,Laos,2004,0.016166627,3.82E-05,0.126730725
LAO,Laos,2005,0.016023153,4.78E-05,0.128896538
LAO,Laos,2006,0.016378583,3.89E-05,0.138777186
LAO,Laos,2007,0.015071395,3.36E-05,0.133069669
LAO,Laos,2008,0.014858541,2.96E-05,0.128895855
LAO,Laos,2009,0.014028502,2.85E-05,0.108084659
LAO,Laos,2010,0.014532932,3.31E-05,0.108677607
LAO,Laos,2011,0.016667326,4.24E-05,0.124682513
LAO,Laos,2012,0.018702241,3.72E-05,0.154863908
LAO,Laos,2013,0.01839626,4.58E-05,0.158018637
LAO,Laos,2014,0.020379095,4.09E-05,0.160577079
LAO,Laos,2015,0.01851783,3.52E-05,0.132406496
LAO,Laos,2016,0.018500054,3.88E-05,0.134877078
LAO,Laos,2017,0.019050984,3.50E-05,0.136073518
LAO,Laos,2018,0.019026159,3.55E-05,0.165218538
LAO,Laos,2019,0.018574873,3.08E-05,0.148058338
LKA,Sri Lanka,1990,0.016479574,1.96E-05,0.131369645
LKA,Sri Lanka,1991,0.015544021,1.72E-05,0.129666147
LKA,Sri Lanka,1992,0.014892991,2.00E-05,0.131832622
LKA,Sri Lanka,1993,0.014932525,1.84E-05,0.114835363
LKA,Sri Lanka,1994,0.014231822,2.28E-05,0.113843535
LKA,Sri Lanka,1995,0.014235265,1.94E-05,0.110232212
LKA,Sri Lanka,1996,0.014208583,2.04E-05,0.107775386
LKA,Sri Lanka,1997,0.013199897,1.79E-05,0.107215513
LKA,Sri Lanka,1998,0.013483177,1.99E-05,0.09297487
LKA,Sri Lanka,1999,0.013595896,2.92E-05,0.108678409
LKA,Sri Lanka,2000,0.013860289,3.01E-05,0.108323769
LKA,Sri Lanka,2001,0.014851024,2.77E-05,0.114310935
LKA,Sri Lanka,2002,0.014676672,2.61E-05,0.121426637
LKA,Sri Lanka,2003,0.015001885,3.08E-05,0.11129086
LKA,Sri Lanka,2004,0.016959948,3.55E-05,0.1272614
LKA,Sri Lanka,2005,0.016831632,3.77E-05,0.128500906
LKA,Sri Lanka,2006,0.016941605,3.57E-05,0.121527364
LKA,Sri Lanka,2007,0.015450898,2.84E-05,0.10668323
LKA,Sri Lanka,2008,0.015657264,2.86E-05,0.124486669
LKA,Sri Lanka,2009,0.014754794,2.94E-05,0.102480744
LKA,Sri Lanka,2010,0.015327781,3.38E-05,0.116466033
LKA,Sri Lanka,2011,0.017220106,3.85E-05,0.139391433
LKA,Sri Lanka,2012,0.019755976,3.62E-05,0.156194287
LKA,Sri Lanka,2013,0.019295459,3.66E-05,0.158182983
LKA,Sri Lanka,2014,0.021014201,3.88E-05,0.162537627
LKA,Sri Lanka,2015,0.019564665,3.77E-05,0.145101314
LKA,Sri Lanka,2016,0.019608235,3.48E-05,0.160884549
LKA,Sri Lanka,2017,0.019881905,3.08E-05,0.139691299
LKA,Sri Lanka,2018,0.020235398,2.62E-05,0.143360422
LKA,Sri Lanka,2019,0.019890965,2.91E-05,0.156781511
MMR,Myanmar,1990,0.016635367,2.12E-05,0.116798388
MMR,Myanmar,1991,0.015395052,2.03E-05,0.136245554
MMR,Myanmar,1992,0.0144398,2.21E-05,0.126174946
MMR,Myanmar,1993,0.014458679,2.38E-05,0.118227116
MMR,Myanmar,1994,0.014094048,2.29E-05,0.103761707
MMR,Myanmar,1995,0.01395642,2.48E-05,0.108070025
MMR,Myanmar,1996,0.013669474,2.39E-05,0.106557375
MMR,Myanmar,1997,0.012978518,2.26E-05,0.103195188
MMR,Myanmar,1998,0.013150838,2.13E-05,0.098881386
MMR,Myanmar,1999,0.013573359,2.53E-05,0.10129735
MMR,Myanmar,2000,0.013441729,2.89E-05,0.105224578
MMR,Myanmar,2001,0.014503617,2.74E-05,0.117475138
MMR,Myanmar,2002,0.013990421,2.84E-05,0.118152012
MMR,Myanmar,2003,0.014591707,2.89E-05,0.118844596
MMR,Myanmar,2004,0.015839676,3.84E-05,0.131765928
MMR,Myanmar,2005,0.015779264,3.81E-05,0.128914632
MMR,Myanmar,2006,0.016163136,4.11E-05,0.119860844
MMR,Myanmar,2007,0.015081996,3.63E-05,0.117085688
MMR,Myanmar,2008,0.014865914,3.21E-05,0.1039712
MMR,Myanmar,2009,0.014023461,3.30E-05,0.113890494
MMR,Myanmar,2010,0.013947416,3.40E-05,0.097034694
MMR,Myanmar,2011,0.016459539,4.68E-05,0.127770669
MMR,Myanmar,2012,0.018164133,3.89E-05,0.146772541
MMR,Myanmar,2013,0.017821338,3.90E-05,0.147163212
