COUNTRY_ID,country,year,p.mean,p.lower,p.upper
BGD,Bangladesh,1990,0.114420056,0.001339486,0.59207009
BGD,Bangladesh,1991,0.111267018,0.001365209,0.563224471
BGD,Bangladesh,1992,0.125921808,0.001893709,0.589151034
BGD,Bangladesh,1993,0.115420462,0.001368182,0.544846779
BGD,Bangladesh,1994,0.073834941,0.000617524,0.389267271
BGD,Bangladesh,1995,0.081851912,0.000864879,0.42735452
BGD,Bangladesh,1996,0.050070431,0.000444554,0.283298446
BGD,Bangladesh,1997,0.057428325,0.000569447,0.3416225
BGD,Bangladesh,1998,0.047784288,0.000386416,0.297722648
BGD,Bangladesh,1999,0.049559826,0.000406972,0.313023302
BGD,Bangladesh,2000,0.046731927,0.000355307,0.271902461
BGD,Bangladesh,2001,0.035342618,0.000272786,0.201549571
BGD,Bangladesh,2002,0.062014065,0.000632706,0.339137613
BGD,Bangladesh,2003,0.057964358,0.000577475,0.334775818
BGD,Bangladesh,2004,0.044703008,0.000362335,0.263691573
BGD,Bangladesh,2005,0.035698907,0.00026675,0.216768328
BGD,Bangladesh,2006,0.036852232,0.000311978,0.212257043
BGD,Bangladesh,2007,0.029456073,0.000205395,0.175524596
BGD,Bangladesh,2008,0.02897434,0.000185647,0.162530886
BGD,Bangladesh,2009,0.020319644,0.000139308,0.122168795
BGD,Bangladesh,2010,0.009628751,4.90E-05,0.068731307
BGD,Bangladesh,2011,0.008134947,3.84E-05,0.047410033
BGD,Bangladesh,2012,0.011353913,6.04E-05,0.071822159
BGD,Bangladesh,2013,0.013321761,7.82E-05,0.079864983
BGD,Bangladesh,2014,0.014029958,7.57E-05,0.085801895
BGD,Bangladesh,2015,0.013270129,8.09E-05,0.093360906
BGD,Bangladesh,2016,0.008450314,3.71E-05,0.061248984
BGD,Bangladesh,2017,0.00648593,1.91E-05,0.044871772
BGD,Bangladesh,2018,0.005437492,1.42E-05,0.029494875
BGD,Bangladesh,2019,0.003725377,7.79E-06,0.020251489
BTN,Bhutan,1990,0.113590287,0.001266823,0.600115331
BTN,Bhutan,1991,0.112350069,0.001305529,0.602757616
BTN,Bhutan,1992,0.1255597,0.001938989,0.591377161
BTN,Bhutan,1993,0.110575818,0.001435258,0.524107973
BTN,Bhutan,1994,0.073437309,0.000719128,0.373170256
BTN,Bhutan,1995,0.075904489,0.000711309,0.396773172
BTN,Bhutan,1996,0.055625245,0.000414697,0.303383027
BTN,Bhutan,1997,0.059835842,0.000581751,0.321507646
BTN,Bhutan,1998,0.05273866,0.000396809,0.315970889
