location,year,AWARE,"DDD/1,000/day",proportion
China,2000,Access,4.989,0.675
China,2000,Watch,2.296,0.311
China,2000,Reserve,0.058,0.008
China,2000,Other,0.045,0.006
China,2001,Access,4.58,0.662
China,2001,Watch,2.274,0.328
China,2001,Reserve,0.001,0
China,2001,Other,0.069,0.01
China,2002,Access,5.407,0.699
China,2002,Watch,2.191,0.283
China,2002,Reserve,0.058,0.008
China,2002,Other,0.074,0.01
China,2003,Access,4.066,0.606
China,2003,Watch,2.505,0.373
China,2003,Reserve,0.058,0.009
China,2003,Other,0.081,0.012
China,2004,Access,3.449,0.483
China,2004,Watch,3.604,0.505
China,2004,Reserve,0.001,0
China,2004,Other,0.084,0.012
China,2005,Access,3.293,0.461
China,2005,Watch,3.79,0.53
China,2005,Reserve,0,0
China,2005,Other,0.066,0.009
China,2006,Access,2.819,0.388
China,2006,Watch,4.231,0.582
China,2006,Reserve,0.159,0.022
China,2006,Other,0.064,0.009
China,2007,Access,1.876,0.313
China,2007,Watch,3.999,0.667
China,2007,Reserve,0.062,0.01
China,2007,Other,0.06,0.01
China,2008,Access,2.744,0.345
China,2008,Watch,4.937,0.622
China,2008,Reserve,0.114,0.014
China,2008,Other,0.148,0.019
China,2009,Access,2.831,0.352
China,2009,Watch,4.958,0.616
China,2009,Reserve,0.119,0.015
China,2009,Other,0.144,0.018
China,2010,Access,2.842,0.369
China,2010,Watch,4.643,0.602
China,2010,Reserve,0.076,0.01
China,2010,Other,0.147,0.019
China,2011,Access,2.947,0.342
China,2011,Watch,5.382,0.625
China,2011,Reserve,0.154,0.018
China,2011,Other,0.128,0.015
China,2012,Access,3.239,0.401
China,2012,Watch,4.688,0.581
China,2012,Reserve,0.028,0.003
China,2012,Other,0.115,0.014
China,2013,Access,2.3,0.32
China,2013,Watch,4.764,0.662
China,2013,Reserve,0.018,0.002
China,2013,Other,0.114,0.016
China,2014,Access,2.555,0.32
China,2014,Watch,5.265,0.659
China,2014,Reserve,0.016,0.002
China,2014,Other,0.15,0.019
China,2015,Access,2.655,0.311
China,2015,Watch,5.7,0.668
China,2015,Reserve,0.017,0.002
China,2015,Other,0.166,0.019
China,2016,Access,2.556,0.294
China,2016,Watch,5.944,0.684
China,2016,Reserve,0.018,0.002
China,2016,Other,0.178,0.02
China,2017,Access,2.403,0.293
China,2017,Watch,5.607,0.683
China,2017,Reserve,0.016,0.002
China,2017,Other,0.181,0.022
China,2018,Access,2.292,0.288
China,2018,Watch,5.462,0.687
China,2018,Reserve,0.015,0.002
China,2018,Other,0.184,0.023
Hong Kong,2000,Access,9.961,0.672
Hong Kong,2000,Watch,4.301,0.29
Hong Kong,2000,Reserve,0,0
Hong Kong,2000,Other,0.556,0.038
Hong Kong,2001,Access,9.324,0.65
Hong Kong,2001,Watch,4.326,0.302
Hong Kong,2001,Reserve,0,0
Hong Kong,2001,Other,0.699,0.049
Hong Kong,2002,Access,6.473,0.596
Hong Kong,2002,Watch,3.627,0.334
Hong Kong,2002,Reserve,0.001,0
Hong Kong,2002,Other,0.756,0.07
Hong Kong,2003,Access,6.358,0.628
Hong Kong,2003,Watch,3.32,0.328
Hong Kong,2003,Reserve,0.001,0
Hong Kong,2003,Other,0.449,0.044
Hong Kong,2004,Access,6.857,0.624
Hong Kong,2004,Watch,3.74,0.34
Hong Kong,2004,Reserve,0.002,0
Hong Kong,2004,Other,0.396,0.036
Hong Kong,2005,Access,7.479,0.603
Hong Kong,2005,Watch,4.657,0.375
Hong Kong,2005,Reserve,0.002,0
Hong Kong,2005,Other,0.27,0.022
Hong Kong,2006,Access,7.235,0.593
Hong Kong,2006,Watch,4.579,0.375
Hong Kong,2006,Reserve,0.002,0
Hong Kong,2006,Other,0.389,0.032
Hong Kong,2007,Access,7.428,0.591
Hong Kong,2007,Watch,4.813,0.383
Hong Kong,2007,Reserve,0.003,0
Hong Kong,2007,Other,0.316,0.025
Hong Kong,2008,Access,7.67,0.582
Hong Kong,2008,Watch,5.171,0.392
Hong Kong,2008,Reserve,0.003,0
Hong Kong,2008,Other,0.345,0.026
Hong Kong,2009,Access,7.553,0.563
Hong Kong,2009,Watch,5.511,0.411
Hong Kong,2009,Reserve,0.006,0
Hong Kong,2009,Other,0.334,0.025
Hong Kong,2010,Access,8.508,0.56
Hong Kong,2010,Watch,6.321,0.416
Hong Kong,2010,Reserve,0.007,0
Hong Kong,2010,Other,0.347,0.023
Hong Kong,2011,Access,8.704,0.546
Hong Kong,2011,Watch,6.902,0.433
Hong Kong,2011,Reserve,0.006,0
Hong Kong,2011,Other,0.342,0.021
Hong Kong,2012,Access,7.563,0.497
Hong Kong,2012,Watch,7.286,0.479
Hong Kong,2012,Reserve,0.007,0
Hong Kong,2012,Other,0.358,0.024
Hong Kong,2013,Access,8.63,0.521
Hong Kong,2013,Watch,7.574,0.457
Hong Kong,2013,Reserve,0.008,0
Hong Kong,2013,Other,0.349,0.021
Hong Kong,2014,Access,9.415,0.56
Hong Kong,2014,Watch,7.079,0.421
Hong Kong,2014,Reserve,0.009,0.001
Hong Kong,2014,Other,0.307,0.018
Hong Kong,2015,Access,10.354,0.56
Hong Kong,2015,Watch,7.815,0.422
Hong Kong,2015,Reserve,0.01,0.001
Hong Kong,2015,Other,0.323,0.017
Hong Kong,2016,Access,12.029,0.588
Hong Kong,2016,Watch,8,0.391
Hong Kong,2016,Reserve,0.013,0.001
Hong Kong,2016,Other,0.412,0.02
Hong Kong,2017,Access,10.207,0.562
Hong Kong,2017,Watch,7.653,0.421
Hong Kong,2017,Reserve,0.015,0.001
Hong Kong,2017,Other,0.303,0.017
Hong Kong,2018,Access,10.765,0.588
Hong Kong,2018,Watch,7.318,0.399
Hong Kong,2018,Reserve,0.017,0.001
Hong Kong,2018,Other,0.222,0.012
Taiwan,2000,Access,16.166,0.813
Taiwan,2000,Watch,3.566,0.179
Taiwan,2000,Reserve,0.002,0
Taiwan,2000,Other,0.159,0.008
Taiwan,2001,Access,14.977,0.804
Taiwan,2001,Watch,3.524,0.189
Taiwan,2001,Reserve,0.002,0
Taiwan,2001,Other,0.124,0.007
Taiwan,2002,Access,14.503,0.807
Taiwan,2002,Watch,3.361,0.187
Taiwan,2002,Reserve,0.002,0
Taiwan,2002,Other,0.105,0.006
Taiwan,2003,Access,12.988,0.773
Taiwan,2003,Watch,3.71,0.221
Taiwan,2003,Reserve,0.003,0
Taiwan,2003,Other,0.093,0.006
Taiwan,2004,Access,14.17,0.772
